id,title,make,model,year,body_type,color,fuel,transmission,engine_cc,mileage_km,price,price_currency,price_note,city,image,detail_url,scraped_at
11513437,Daihatsu Cuore 2008 for sale in Rawalpindi,Daihatsu,Cuore,2008,Hatchback,Silver,Petrol,Manual,800,40000,1010000,Pkr,converted_from_lacs,Rawalpindi,https://cache2.pakwheels.com/ad_pictures/1418/suzuki-bolan-2021-141894049.jpg,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-rawalpindi-11373649,2026-05-21 16:47:43
11513435,Suzuki Mehran 2008 for sale in Lahore,Suzuki,Mehran,2008,Hatchback,Silky Silver,Petrol,Manual,800,50000,900000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1440/suzuki-mehran-vxr-2-2008-144037787.jpg,https://www.pakwheels.com/used-cars/suzuki-mehran-2008-for-sale-in-lahore-11512482,2026-05-21 16:47:43
11473598,KIA Stonic 2025 for sale in Lahore,Kia,Stonic,2025,Crossover,Clear White,Petrol,Automatic,1400,6000,6050000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1434/kia-stonic-ex-4-2025-143426426.jpg,https://www.pakwheels.com/used-cars/kia-stonic-2025-for-sale-in-lahore-11473425,2026-05-21 16:47:43
11513320,Toyota Crown 2004 for sale in Islamabad,Toyota,Crown,2004,Sedan,Frosty White,Petrol,Automatic,3000,224000,5000000,Pkr,converted_from_lacs,Islamabad,https://cache4.pakwheels.com/ad_pictures/1418/toyota-crown-royal-saloon-g-2004-141804841.jpg,https://www.pakwheels.com/used-cars/toyota-crown-2004-for-sale-in-islamabad-11367971,2026-05-21 16:47:56
11513313,Toyota Corolla 2010 for sale in Karachi,Toyota,Corolla,2010,Sedan,Attitude Black,Petrol,Manual,1800,143000,2750000,Pkr,converted_from_lacs,Karachi,https://cache2.pakwheels.com/ad_pictures/1440/toyota-corolla-altis-1-8-2010-144044185.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-karachi-11512896,2026-05-21 16:47:56
11513314,Toyota Passo 2014 for sale in Karachi,Toyota,Passo,2014,Hatchback,Beige,Petrol,Automatic,1000,103915,2690000,Pkr,converted_from_lacs,Karachi,https://cache2.pakwheels.com/ad_pictures/1407/toyota-passo-1-0-x-2014-140720224.jpg,https://www.pakwheels.com/used-cars/toyota-passo-2014-for-sale-in-karachi-11301135,2026-05-21 16:47:56
11494142,Nissan Dayz 2023 for sale in Lahore,Nissan,Dayz,2023,Hatchback,Metallic Mat Black,Petrol,Automatic,660,5957,4200000,Pkr,converted_from_lacs,Lahore,https://cache2.pakwheels.com/ad_pictures/1407/nissan-dayz-highway-star-x-2023-140786525.jpg,https://www.pakwheels.com/used-cars/nissan-dayz-2023-for-sale-in-lahore-10862557,2026-05-21 16:47:57
11430656,Suzuki Wagon R 2015 for sale in Islamabad,Suzuki,Wagon R,2015,Hatchback,Solid White,Petrol,Automatic,660,78000,2770000,Pkr,converted_from_lacs,Islamabad,https://cache3.pakwheels.com/ad_pictures/1432/suzuki-wagon-r-fx-limited-2015-143268973.jpg,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2015-for-sale-in-islamabad-11377354,2026-05-21 16:47:57
11513181,Toyota Passo 2022 for sale in Islamabad,Toyota,Passo,2022,Hatchback,Unlisted,Petrol,Automatic,1000,11400,4850000,Pkr,converted_from_lacs,Islamabad,https://cache2.pakwheels.com/ad_pictures/1440/toyota-passo-x-l-package-s-2022-144021536.jpg,https://www.pakwheels.com/used-cars/toyota-passo-2022-for-sale-in-islamabad-11511466,2026-05-21 16:47:57
11386706,KIA Sportage 2021 for sale in Islamabad,Kia,Sportage,2021,Crossover,White,Petrol,Automatic,2000,47000,6350000,Pkr,converted_from_lacs,Islamabad,https://cache1.pakwheels.com/ad_pictures/1440/kia-sportage-fwd-2021-144005930.jpg,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-islamabad-11406759,2026-05-21 16:47:57
11513289,Proton X70 2021 for sale in Karachi,Proton,X70,2021,Suv,Armor Silver,Petrol,Automatic,1500,32000,6200000,Pkr,converted_from_lacs,Karachi,https://cache2.pakwheels.com/ad_pictures/1433/proton-x70-premium-fwd-2021-143387840.jpg,https://www.pakwheels.com/used-cars/proton-x70-2021-for-sale-in-karachi-11471119,2026-05-21 16:47:57
11513292,Suzuki Liana 2006 for sale in Islamabad,Suzuki,Liana,2006,Sedan,Silver,Petrol,Automatic,1600,80000,1450000,Pkr,converted_from_lacs,Islamabad,https://cache3.pakwheels.com/ad_pictures/1423/suzuki-liana-eminent-automatic-2006-142338635.jpg,https://www.pakwheels.com/used-cars/suzuki-liana-2006-for-sale-in-islamabad-11404195,2026-05-21 16:47:57
11385990,Honda Vezel 2016 for sale in Islamabad,Honda,Vezel,2016,Crossover,White,Hybrid,Automatic,1500,84000,5785000,Pkr,converted_from_lacs,Islamabad,https://cache4.pakwheels.com/ad_pictures/1440/honda-vezel-hybrid-z-honda-sensing-2016-144031240.jpg,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-islamabad-11512105,2026-05-21 16:47:57
11513287,Toyota Land Cruiser 2016 for sale in Islamabad,Toyota,Land Cruiser,2016,Suv,Black,Petrol,Automatic,4600,212000,30500000,Pkr,direct,Islamabad,https://cache3.pakwheels.com/ad_pictures/1439/toyota-land-cruiser-ax-g-selection-2016-143995400.jpg,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2016-for-sale-in-islamabad-11509767,2026-05-21 16:47:57
